نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
زبينا,كشاورزي و دامپروري بينالود,3495,97791279,387072314615,3723,3790,3983,260,6.98,3958,235,6.31,3751,3983
توان,صندوق س. اهرمي توان مفيد-س,3436,35822094,440693847472,12173,12279,12500,327,2.69,12302,129,1.06,12081,12527
فخوز,فولاد  خوزستان,3374,83208774,256566055338,3134,3022,3122,-12,-0.38,3083,-51,-1.63,3022,3160
كيان,صندوق س. با درآمد ثابت كيان,3316,40663731,1624857317688,39933,39958,39956,23,0.06,39958,25,0.06,39956,39960
خمحركه,نيرو محركه‌,3282,45316501,283434098180,6200,6280,6360,160,2.58,6250,50,0.81,6010,6450
سنير,سيمان‌ سفيد ني‌ريز,3262,7052624,269616194980,37080,38930,38910,1830,4.94,38230,1150,3.1,35980,38930
سپيد,سپيد ماكيان,3253,9481510,192099081800,20410,20510,20500,90,0.44,20260,-150,-0.73,19700,20850
بگيلان,توسعه مسير برق گيلان,3243,8258515,123137102390,14480,14400,15200,720,4.97,14910,430,2.97,14100,15200
گدنا,تهيه توزيع غذاي دنا آفرين فدك,3221,31967382,384567605460,11250,12030,12030,780,6.93,12030,780,6.93,12030,12030
آگاس,صندوق س.هستي بخش آگاه-س,3215,4939577,494299834128,99144,99298,101632,2488,2.51,100069,925,0.93,98620,101650
وپارس,بانك‌پارسيان‌,3178,120880095,235821286445,2022,1965,1980,-42,-2.08,1951,-71,-3.51,1921,2046
ضسپا1211,اختيارخ خساپا-3250-1401/12/10,3155,1010289,78703166000,99,96,85,-14,-14.14,78,-21,-21.21,59,99
دكوثر,داروسازي‌ كوثر,3120,56820304,395695748920,6670,6890,6890,220,3.3,6960,290,4.35,6710,7130
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3118,79945150,193578618995,2461,2403,2412,-49,-1.99,2421,-40,-1.63,2367,2492
خكاوه,سايپا ديزل,3110,28083538,566439823330,20310,19810,20160,-150,-0.74,20170,-140,-0.69,19710,20910
سآبيك,سيمان آبيك,3099,4272425,61671980410,14110,14160,14690,580,4.11,14430,320,2.27,14080,14750
ختوقا,قطعات‌ اتومبيل‌ ايران‌,3084,49584501,235431272360,4870,4880,4790,-80,-1.64,4750,-120,-2.46,4580,4960
خپويش,سازه‌ پويش‌,3073,23048639,489737338230,20280,21290,21290,1010,4.98,21250,970,4.78,20520,21290
بركت,گروه دارويي بركت,3064,13501117,175857117850,13360,12900,13110,-250,-1.87,13030,-330,-2.47,12700,13400
آبادا,توليد نيروي برق آبادان,3060,5410157,65342740510,11910,11800,12230,320,2.69,12080,170,1.43,11640,12320
غگل,گلوكوزان‌,3050,28502211,182397487350,6260,6250,6460,200,3.19,6400,140,2.24,6170,6570
فاسمين,كالسيمين‌,3013,14177370,366205834480,24930,25150,26670,1740,6.98,25830,900,3.61,24580,26670
سمگا,گروه سرمايه گذاري ميراث فرهنگي,3005,39963572,277102329290,6950,6840,6940,-10,-0.14,6930,-20,-0.29,6680,7260
ياقوت,صندوق س ياقوت آگاه-ثابت,2990,34764058,585815061692,16829,16838,16838,9,0.05,16851,22,0.13,16837,16853
كدما,معدني‌ دماوند,2941,3194312,191223650870,62100,61750,59750,-2350,-3.78,59860,-2240,-3.61,59000,62990
سصفها,سيمان‌اصفهان‌,2922,3362787,242465573260,69610,69580,73090,3480,5,72100,2490,3.58,68100,73090
سحرخيز,صندوق س. گروه زعفران سحرخيز,2918,10954923,233134886244,19892,20165,21600,1708,8.59,21281,1389,6.98,20165,21880
اردستان,سيمان اردستان,2879,1622485,17214565850,10110,10610,10610,500,4.95,10610,500,4.95,10610,10610
خصدرا,صنعتي‌ دريايي‌ ايران‌,2860,106926273,240232487169,2312,2251,2243,-69,-2.98,2247,-65,-2.81,2243,2290
مديريت,س. و خدمات مديريت صند. ب كشوري,2852,22070362,89634506997,4135,4165,4072,-63,-1.52,4061,-74,-1.79,3980,4168
غدشت,دشت‌ مرغاب‌,2844,5163593,202546067450,38330,39470,38590,260,0.68,39230,900,2.35,38500,39840
شگويا,پتروشيمي تندگويان,2819,20904835,251890489310,12060,11840,12090,30,0.25,12050,-10,-0.08,11840,12220
زشگزا,شير و گوشت زاگرس شهركرد,2811,42324930,295496419500,6690,6750,7150,460,6.88,6980,290,4.33,6600,7150
وتوس,توسعه‌شهري‌توس‌گستر,2796,36451038,395992314040,10490,10980,11220,730,6.96,10860,370,3.53,10100,11220
خمهر,مهركام‌پارس‌,2789,89175195,234494930436,2733,2650,2671,-62,-2.27,2630,-103,-3.77,2597,2790
وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,2766,4284451,547994002150,133750,129100,127070,-6680,-4.99,127900,-5850,-4.37,127070,131500
شبريز,پالايش نفت تبريز,2750,12182950,204227798170,16710,16270,16810,100,0.6,16760,50,0.3,16270,17100
مثقال,صندوق س.پشتوانه طلاي زرين آگاه,2691,10957333,226444051670,19132,20300,21045,1913,10,20666,1534,8.02,19800,21045
لپارس,پارس‌ الكتريك‌,2690,1915750,154178560890,80960,79000,80980,20,0.02,80480,-480,-0.59,77500,82980
ومعادن,توسعه‌معادن‌وفلزات‌,2663,32359929,167164695490,5210,5100,5230,20,0.38,5170,-40,-0.77,5100,5250
شپلي,پلي اكريل ايران,2625,31084680,341793940790,11180,10880,11030,-150,-1.34,11000,-180,-1.61,10850,11510
شاروم,پتروشيمي اروميه,2593,2922897,59113095400,20000,20000,20650,650,3.25,20200,200,1,19500,20700
امين يكم,صندوق درآمد ثابت امين يكم فردا,2548,59787411,585790428578,9855,9840,9813,-42,-0.43,9798,-57,-0.58,9735,9845
خكار,ايركا پارت صنعت,2545,50519062,159003748096,3082,3090,3260,178,5.78,3147,65,2.11,3011,3278
سپيدار,سپيدار سيستم آسيا,2517,4336450,110209845900,25950,25250,25900,-50,-0.19,25400,-550,-2.12,24800,26400
سامان,بانك سامان,2507,71626061,200751783872,2802,2870,2780,-22,-0.79,2803,1,0.04,2745,2874
بورس,بورس اوراق بهادار تهران,2423,24725465,168324926900,6830,6690,6890,60,0.88,6810,-20,-0.29,6520,7100
كمرجان,بازرگاني و توليدي مرجان كار,2423,14324085,129173659150,9130,8810,9120,-10,-0.11,9020,-110,-1.2,8550,9370
غگيلا,شيرپاستوريزه پگاه گيلان,2394,4372410,112361560800,25350,26500,25450,100,0.39,25700,350,1.38,24500,26950
افرا,افرانت,2392,13991328,344113458550,23050,24650,24650,1600,6.94,24600,1550,6.72,23600,24650
ثشاهد,سرمايه‌ گذاري‌ شاهد,2388,19397110,185586842160,9920,9820,9620,-300,-3.02,9570,-350,-3.53,9230,10210
همراه,شركت ارتباطات سيار ايران,2380,31629491,257898746740,8450,8250,8250,-200,-2.37,8150,-300,-3.55,8030,8420
آريا,پليمر آريا ساسول,2373,1480497,114325048250,77500,76300,77750,250,0.32,77200,-300,-0.39,76300,78000
فروي,ذوب روي اصفهان,2367,8261057,128691389810,15910,15590,15800,-110,-0.69,15580,-330,-2.07,15050,16170
ددانا,داروسازي دانا,2297,2637567,95935111900,36400,37450,36350,-50,-0.14,36350,-50,-0.14,35550,37450
قثابت,قند ثابت‌ خراسان‌,2286,63131813,172478205749,2846,2819,2730,-116,-4.08,2732,-114,-4.01,2704,2868
حفارس,حمل و نقل بين المللي خليج فارس,2232,22624753,346140090820,15380,15200,15400,20,0.13,15300,-80,-0.52,15150,15670
غسالم,سالمين‌,2210,27549380,126893337368,4746,4749,4671,-75,-1.58,4606,-140,-2.95,4457,4823
ولپارس,ليزينگ پارسيان,2208,8288874,34955558553,4287,4200,4359,72,1.68,4217,-70,-1.63,4005,4399
زقيام,كشت و دام قيام اصفهان,2186,42758902,115899588834,2646,2658,2760,114,4.31,2711,65,2.46,2600,2800
چكاپا,گروه صنايع كاغذ پارس,2152,39917392,119215722135,3069,3069,2998,-71,-2.31,2987,-82,-2.67,2920,3100
فگستر,گسترش صنايع روي ايرانيان,2133,12718264,99665649440,7580,7600,7800,220,2.9,7840,260,3.43,7530,8060
سيتا,سرمايه گذاري سيمان تامين,2133,3544933,39635466890,11150,10970,11260,110,0.99,11170,20,0.18,10860,11300
غاذر,كشت‌وصنعت‌پياذر,2115,5658928,266379521930,45780,45870,48060,2280,4.98,47070,1290,2.82,45870,48060
شپارس,بين‌ المللي‌ محصولات‌  پارس‌,2113,20148325,134767875220,6830,6950,6780,-50,-0.73,6690,-140,-2.05,6490,7040
كهربا,صندوق س.پشتوانه سكه طلا كهربا,2102,10021474,210485359960,19750,21500,21100,1350,6.84,21003,1253,6.34,20500,21500
اخابر,مخابرات ايران,2098,28784169,222925501630,7880,7780,7870,-10,-0.13,7740,-140,-1.78,7480,7990
بپيوند,برق و انرژي پيوندگستر پارس,2096,2348208,26682131260,11510,11340,11470,-40,-0.35,11360,-150,-1.3,10970,11700
وملل,اعتباري ملل,2095,38427906,145325559549,3639,3790,3778,139,3.82,3782,143,3.93,3700,3820
چخزر,صنايع چوب خزر كاسپين,2093,1155103,40485915950,35350,34900,35050,-300,-0.85,35050,-300,-0.85,34600,36000
زملارد,كشاورزي و دامپروري ملارد شير,2090,1934524,25507395870,13670,13200,13220,-450,-3.29,13190,-480,-3.51,12990,13700
خاذين,سايپاآذين‌,2071,50143492,129694498625,2662,2570,2645,-17,-0.64,2586,-76,-2.85,2529,2680
كماسه,تامين‌ ماسه‌ ريخته‌گري‌,2063,39543720,195646598653,4726,4790,5056,330,6.98,4948,222,4.7,4752,5056
صبا,گروه مالي صبا تامين,2049,29371429,111784501389,3874,3860,3825,-49,-1.26,3807,-67,-1.73,3759,3899
سكه مركزي,سلف تمام سكه 001 مركزي,2031,516200,1173427610400,2170811,2260000,2279351,108540,5,2273203,102392,4.72,2242000,2279351
ختور,رادياتور ايران‌,2020,20797302,126203563320,6240,6080,6160,-80,-1.28,6070,-170,-2.72,5860,6300
اپال,فرآوري معدني اپال كاني پارس,2008,3721787,63847309950,17470,17230,17180,-290,-1.66,17300,-170,-0.97,16930,17470
رافزا,رايان هم افزا,2001,1242641,79154994350,65300,64000,64700,-600,-0.92,63700,-1600,-2.45,61400,65650
كتوكا,توليدي و خدمات صنايع نسوز توكا,1986,23427355,242015893230,10730,10160,10710,-20,-0.19,10330,-400,-3.73,9980,10780
فجهان,مجتمع جهان فولاد سيرجان,1960,10328921,32843371126,3231,3200,3190,-41,-1.27,3211,-20,-0.62,3132,3234
توسن,توسعه سامانه ي نرم افزاري نگين,1945,6013304,91891145010,15710,15260,15500,-210,-1.34,15280,-430,-2.74,14900,16110
پتاير,ايران‌ تاير,1943,62379076,93656388806,1547,1501,1520,-27,-1.75,1501,-46,-2.97,1452,1569
ثنور,سرمايه گذاري كوه نور,1931,16353049,118617132810,7450,7490,7260,-190,-2.55,7250,-200,-2.68,7230,7490
ثالوند,سرمايه گذاري مسكن الوند,1929,13631447,163867157660,11760,12300,12200,440,3.74,12020,260,2.21,11410,12440
سشرق,سيمان‌ شرق‌,1923,13293134,133984378110,10110,10120,10110,0,0,10080,-30,-0.3,9800,10370
غويتا,ويتانا,1921,21351933,116698600770,5620,5680,5510,-110,-1.96,5470,-150,-2.67,5270,5730
پيزد,مجتمع صنايع لاستيك يزد,1919,5954265,89871127860,14460,15180,15180,720,4.98,15090,630,4.36,14750,15180
دتوليد,داروسازي توليد دارو,1904,9817927,104897844310,10390,10470,10850,460,4.43,10680,290,2.79,10120,11040
شبهرن,نفت‌ بهران‌,1893,7702879,153544542790,19960,20200,20060,100,0.5,19930,-30,-0.15,19650,20200
قجام,فرآوردههاي غذايي وقندتربت‌جام‌,1871,34293678,278735986320,8370,8150,8120,-250,-2.99,8130,-240,-2.87,8120,8300
غكورش,صنعت غذايي كورش,1871,9186654,90591455490,10040,9880,9860,-180,-1.79,9860,-180,-1.79,9740,10060
قشير,قند شيروان قوچان و بجنورد,1850,16674053,148563867220,8770,8990,9040,270,3.08,8910,140,1.6,8470,9370
وهامون,سرمايه گذاري هامون صبا,1835,20391341,44497169550,2239,2200,2195,-44,-1.97,2182,-57,-2.55,2130,2274
شسينا,صنايع‌شيميايي‌سينا,1815,35400235,85244263614,2460,2400,2388,-72,-2.93,2408,-52,-2.11,2310,2575
خكرمان,سرمايه گذاري آرمان گستر پاريز,1812,39524556,192330888690,4970,5020,4821,-149,-3,4866,-104,-2.09,4821,5050
چكارن,كارتن‌ ايران‌,1811,56609067,217269788502,4000,4000,3813,-187,-4.68,3838,-162,-4.05,3800,4070
كيمياتك,آريان كيميا تك,1801,10063291,128292402680,13210,13310,12810,-400,-3.03,12750,-460,-3.48,12550,13390
شفن,پتروشيمي فناوران,1791,24257303,144809432230,5980,6000,5970,-10,-0.17,5970,-10,-0.17,5830,6100
غديس,پاكديس,1781,15536223,298443040170,18470,19000,19760,1290,6.98,19210,740,4.01,18500,19760
تاپكيش,تجارت الكترونيك پارسيان كيش,1770,8079272,82649743100,9930,10480,10050,120,1.21,10230,300,3.02,9990,10600
ضخود1205,اختيارخ خودرو-2000-1401/12/03,1765,198230,229394620000,1268,1220,1190,-78,-6.15,1157,-111,-8.75,1052,1280
دفارا,داروسازي‌ فارابي‌,1764,15203023,331309618460,21400,22000,21700,300,1.4,21790,390,1.82,21050,22290
كلر,كلر پارس,1755,1135354,98677484850,88300,88300,87350,-950,-1.08,86900,-1400,-1.59,84650,89300
غپينو,پارس‌ مينو,1749,31672784,109014507809,3557,3511,3482,-75,-2.11,3442,-115,-3.23,3311,3610
زر,صندوق س.پشتوانه سكه طلاي زر,1746,1055664,113270929552,99294,109223,107474,8180,8.24,107298,8004,8.06,104000,109223
ثاخت,بين‌المللي‌توسعه‌ساختمان,1732,46273075,130938921432,2847,2930,2868,21,0.74,2830,-17,-0.6,2734,2940
گكوثر,هتل پارسيان كوثر اصفهان,1730,44780484,108718874679,2495,2426,2410,-85,-3.41,2428,-67,-2.69,2371,2533
ولصنم,ليزينگ‌صنعت‌ومعدن‌,1725,41231494,213817158006,5056,5160,5365,309,6.11,5186,130,2.57,5000,5400
ثنوسا,نوسازي‌وساختمان‌تهران‌,1722,33767508,165378156392,5080,5180,4902,-178,-3.5,4898,-182,-3.58,4826,5180
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,1703,12298839,229102462410,18470,18290,18680,210,1.14,18630,160,0.87,18290,18870
ثرود,سرمايه‌گذاري مسكن زاينده رود,1692,9953763,107539690180,11130,11390,10580,-550,-4.94,10800,-330,-2.96,10390,11550
وبانك,سرمايه گذاري گروه توسعه ملي,1684,15952782,171947430580,10710,10710,10780,70,0.65,10780,70,0.65,10580,10980
بكام,كارخانجات توليدي شهيد قندي,1674,32262193,85960949120,2674,2745,2649,-25,-0.93,2664,-10,-0.37,2554,2800
استقلال,استقلال,1661,9592281,20361128770,2116,2117,2112,-4,-0.19,2123,7,0.33,2085,2158
وپويا,سرمايه گذاري پويا,1659,16367275,43297478122,2727,2665,2653,-74,-2.71,2645,-82,-3.01,2570,2750
فسوژ,سوژميران,1651,3992818,79393362770,20020,20000,20440,420,2.1,19880,-140,-0.7,18620,20700
حتوكا,حمل‌ونقل‌توكا,1646,28503594,228217796220,7630,7930,8010,380,4.98,8010,380,4.98,7910,8010
غگزح,ح . گز سكه,1645,82017473,138281459478,1606,1686,1686,80,4.98,1686,80,4.98,1686,1686
درازك,دارويي‌ رازك‌,1623,8001173,128669926050,16370,16200,16450,80,0.49,16080,-290,-1.77,15600,16870
خودكفا,اقتصادي و خودكفايي آزادگان,1622,17042100,131615122850,7820,7840,7740,-80,-1.02,7720,-100,-1.28,7590,7860
وگستر,گسترش سرمايه گذاري ايرانيان,1614,21304100,113968572670,5090,5350,5360,270,5.3,5350,260,5.11,5210,5440
آريان,سرمايه گذاري پارس آريان,1604,22191056,97831874826,4501,4520,4441,-60,-1.33,4414,-87,-1.93,4366,4549
كسرا,سراميك‌هاي‌صنعتي‌اردكان‌,1596,21683550,128970130620,6090,5810,6100,10,0.16,5950,-140,-2.3,5740,6200
فوكا,فولاد كاويان,1596,14137280,186029697750,13550,13150,13170,-380,-2.8,13160,-390,-2.88,13150,13410
واحيا,م .صنايع و معادن احياء سپاهان,1587,16983689,275462279770,16010,16490,16010,0,0,16220,210,1.31,15760,16490
وگردش,بانك گردشگري,1584,15832747,127781597780,8170,8150,8060,-110,-1.35,8070,-100,-1.22,7930,8300
وطوبي,سرمايه گذاري اقتصاد شهر طوبي,1581,38903748,84667805606,2239,2250,2204,-35,-1.56,2176,-63,-2.81,2102,2282
خموتور,موتورسازان‌تراكتورسازي‌ايران‌,1580,22160118,161633914920,7040,7190,7250,210,2.98,7290,250,3.55,7130,7390
ولشرق,ليزينگ ايران و شرق,1577,26026235,89607466039,3645,3700,3445,-200,-5.49,3443,-202,-5.54,3390,3700
دلقما,دارويي‌ لقمان‌,1575,44034543,137190015172,3268,3180,3130,-138,-4.22,3116,-152,-4.65,3105,3350
بجهرم,توسعه مولد نيروگاهي جهرم,1567,35166784,78283761084,2280,2257,2240,-40,-1.75,2226,-54,-2.37,2171,2299
غبشهر,صنعتي‌ بهشهر,1565,33127627,99422028079,3026,3000,2961,-65,-2.15,3001,-25,-0.83,2950,3070
غدام,خوراك‌  دام‌ پارس‌,1559,1828533,87028950730,49450,49950,47000,-2450,-4.95,47590,-1860,-3.76,46980,50500
كزغال,زغال سنگ پروده طبس,1551,1870542,37552070000,20150,19650,20150,0,0,20100,-50,-0.25,19650,20550
حآسا,آسيا سير ارس,1531,10396462,120467595370,10890,11650,11650,760,6.98,11590,700,6.43,11180,11650
سمايه,بانك سرمايه,1522,17563500,96990252730,5640,5690,5480,-160,-2.84,5520,-120,-2.13,5480,5720
نوين,بيمه نوين,1520,42695516,82774397950,2000,2034,1970,-30,-1.5,1939,-61,-3.05,1861,2040
فارس,صنايع پتروشيمي خليج فارس,1506,21591941,202170746810,9310,9220,9400,90,0.97,9360,50,0.54,9220,9500
سبزوا,سيمان لار سبزوار,1483,16743337,92547429000,5390,5500,5500,110,2.04,5530,140,2.6,5390,5680
خزر,فنرسازي‌زر,1479,13936696,72705640800,5390,5350,5270,-120,-2.23,5220,-170,-3.15,5030,5450
شتوكا,توكا رنگ فولاد سپاهان,1471,6586448,120594364860,17440,17810,18350,910,5.22,18310,870,4.99,17700,18660
شفارس,صنايع‌ شيميايي‌ فارس‌,1466,51587007,70616516986,1418,1400,1379,-39,-2.75,1369,-49,-3.46,1326,1440
